文档,摘要,模型预测摘要
库尔图瓦在接受媒体采访时介绍了切赫的善举，“切赫告诉我，在英超或许某些前锋真的会冲击门将，因此有些时候你最好保护自己的大脑，在封对方脚下球时你得尽快趴下，选择用后背或者膝盖来保护你的大脑。,"有 爱 ！ 库 尔 图 瓦 受 伤 切 赫 伸 援 手 分 享 "" "" 护 脑 秘 诀 "" """,英 超 大 脑 ： 下 的 脚 下
曼联主帅范加尔表示，当初告知众人三个月后再来对自己的执教表现进行评价是很愚蠢的，“说三个月（再来评价）真的是一个很愚蠢的举动，因为那样媒体就只会盯着这三个月说事儿，球队表现才是最有说服力的，但我们的表现却总是起伏不定。,范 加 尔 ： 给 媒 体 三 个 月 评 定 期 很 是 愚 蠢,评 论 ： 我 们 的 表 现 是 个 个 表 现
1月6日，因以逃匿的方法逃避支付劳动者的报酬15.8万余元，包工头任某被福建省武平县人民法院一审判处拘役二个月，并处罚金5000元。据悉，此案是《刑法修正案(八)》自2011年5月1日正式实施以来，福建首例拒不支付劳动报酬的刑事案件。,福 建 首 例 “ 拒 不 支 付 劳 动 报 酬 案 ” 宣 判,福 建 首 例 劳 动 酬 报 酬 案 例
国家安监总局副局长王德学１月８日在春运新闻发布会上表示，目前，各地承担春运任务的客运车辆全部安装了动态监管系统，实现了对运行中的客车及其驾驶员动态实时监控，防止超载、超速和疲劳驾驶。,春 运 客 车 全 部 实 现 实 时 监 控,国 防 部 ： 客 运 超 速 时 间 实 现 全 部 承 任
1月8日22时45分许，发生在许平南高速公路的车祸事件，已确认造成7人死亡，32人受伤。事故肇事车辆车牌号为豫N15585，挂车牌号为豫PV345的大型半挂货车，当车辆运行到145km＋900m处与一辆车牌号为鄂D15018大型客车发生相撞。,许 平 南 高 速 公 路 客 车 与 大 货 车 相 撞 致 7 死 3 2 伤,车 祸 已 致 4 7 人 死 亡
上周六，切尔西2-1力克水晶宫，小法为本队攻入第二粒进球同时也是其个人本赛季首个联赛进球，此外他还以7次助攻领跑英超助攻榜。他在接受采访时表示，相比个人进球和助攻，球队整体的进攻型打法引人关注才是最重要的。,小 法 ： 相 比 个 人 数 据 ， 更 关 心 球 队 整 体 表 现,英 超 进 攻 克 力 跑 攻
蒙牛乳业(眉山)有限公司2011年10月18日生产的250ML/盒包装的纯牛奶产品被检出黄曲霉毒素M1超标140%。蒙牛集团称只公布了产生该问题的原因，但对于这批饲料及奶源来源，蒙牛称暂时无法追查。,蒙 牛 与 现 代 牧 场 就 问 题 奶 相 互 推 诿 调 查 至 今 无 果,蒙 牛 集 团 否 认 蒙 牛 奶 源 被 查
有关民生问题，审计署审计长刘家义昨日表示，2012年审计将集中力量组织好3个重大项目的审计，其中，社保资金审计是国务院交办的审计事项，刘家义说，社保资金审计是审计署今年的头等大事。,审 计 署 将 首 次 进 行 全 国 范 围 社 保 资 金 审 计,审 计 署 ： 审 计 署 2 0 1 3 年 审 计 审 计
保监会主席项俊波在全国保险监管工作会上表示，今年要重点防范退保风险、资产管理风险和案件风险。重点检查保险资金存款、融券中的不规范行为，以及权益投资领域的利益输送和内幕交易等问题。严禁保险资金进入民间借贷。,保 监 会 ： 严 禁 保 险 资 金 进 入 民 间 借 贷,保 监 会 ： 今 年 重 点 监 管 项 目
16岁的李晴（化名）和4个同学在一家加油站抢了价值近700元的钱物。重庆市沙坪坝区人民法院在判前对他们进行了考察，用量化的义务劳动替代了他们的罚金刑。如果没有后来的判决，这是一起普通的抢劫案。这是全国首例。,重 庆 法 院 判 处 5 名 未 成 年 人 以 义 务 劳 动 替 代 罚 金 全 国 首 列,首 例 劳 动 案 例 判 罚 款
加斯科因曾因酗酒多次入院戒酒，甚至两度因酗酒濒临死亡，今年8月，加斯科因还被房东赶出住处。不过近日加斯科因却容光焕发，他和一位名叫曼迪-托马斯的女性关系非常亲密，曼迪最近一直陪在加斯科因身边帮助他在医院恢复身体。,传 加 斯 科 因 交 往 新 女 友 或 戒 酗 酒 恶 习,科 斯 科 女 身 亡 身 亡 因 身 体 性 感 障 碍
6日上午，南京市下关区发生一起抢劫案，犯罪嫌疑人逃窜。昨天，经过南京警方工作，最终获取了持枪劫匪作案后逃离现场的视频资料。同时，南京玄武警方也追加了5万元的悬赏，使得各地公安机关的悬赏总金额达到了245万之多。,南 京 持 枪 劫 匪 逃 窜 视 频 公 布 悬 赏 总 金 额 达 2 4 5 万,南 京 警 方 悬 赏 5 万 元 缉 捕 逃 犯 追 逃
据《每日镜报》报道，阿森纳俱乐部高层已经告知温格可以放手在1月引援，而南安普顿的施耐德林已经成了法国人的头号引援对象，温格已准备为24岁的施耐德林报价，预计转会费在2500万英镑左右。,施 耐 德 林 成 温 格 冬 窗 引 援 头 号 目 标,温 格 森 林 施 耐 德 国 施 耐 报
1月7日，最高人民法院在广东清远召开的全国法院司法行政工作会议，全国上万个基层人民法庭将以统一外观标识“面世”。最高人民法院副院长苏泽林表示，两年内将完成所有人民法庭统一标识的安装工作。,人 民 法 庭 两 年 内 将 全 部 实 现 统 一 标 识,安 全 法 庭 将 统 一 “ 统 一 ”
苏亚雷斯在接受采访时说道：“我曾觉得我把自己的职业生涯给毁了，当我的经纪人佩雷给我打电话说转会巴萨已经谈妥时，我开始哭了起来，我很感谢巴萨对我的支持，但当时我还是担心咬人事件所带来的负面影响会扼杀这笔转会。,苏 神 ： 因 转 会 巴 萨 而 落 泪 曾 怕 咬 人 毁 掉 一 切,巴 萨 雷 声 会 ： 我 哭 了
昨日，郑州铁路局团委在郑州火车站西广场举行“2012年铁路·社会青年志愿者服务春运”活动启动仪式，郑州铁路局党委宣传部、客运处，共青团河南省委志愿者工作部等相关部门负责人以及300名青年志愿者参加了启动仪式。,2 0 1 2 春 运 启 动,青 年 铁 路 局 志 愿 者 服 务 团 伙
公安部已着手修改机动车驾驶证和使用规范，以提高交通违法行为成本。记者日前从全国政协提案委员会办公室获悉，全国政协委员叶乔波等12名委员的关于减少交通事故与违法的提案得到公安部上述答复。,公 安 部 ： 已 着 手 修 改 驾 照 规 范 提 高 交 通 违 法 成 本,安 全 公 交 车 将 提 名 1 2 日
